Date,BVN,ETH-USD,GLD,PEN,SCCO
2015-07-17,8.5600004196167,,108.6500015258789,,28.459999084472656
2015-07-20,7.300000190734863,,105.69999694824219,,27.829999923706055
2015-07-21,7.789999961853027,,105.37000274658203,,28.350000381469727
2015-07-22,7.800000190734863,,104.80000305175781,,27.709999084472656
2015-07-23,7.230000019073486,,104.33000183105469,,27.420000076293945
2015-07-24,7.679999828338623,,105.3499984741211,,26.950000762939453
2015-07-27,7.380000114440918,,104.86000061035156,,26.09000015258789
2015-07-28,7.579999923706055,,105.0199966430664,,27.299999237060547
2015-07-29,7.650000095367432,,105.16999816894531,,27.950000762939453
2015-07-30,7.369999885559082,,104.2699966430664,,27.399999618530273
2015-07-31,7.119999885559082,,104.93000030517578,,27.860000610351562
2015-08-03,6.710000038146973,,104.0999984741211,,27.079999923706055
2015-08-04,6.650000095367432,,104.30999755859375,,27.809999465942383
2015-08-05,6.590000152587891,,103.93000030517578,,27.520000457763672
2015-08-06,6.650000095367432,,104.38999938964844,,28.190000534057617
2015-08-07,6.389999866485596,,104.6500015258789,,27.5
2015-08-10,6.739999771118164,,105.72000122070312,,28.670000076293945
2015-08-11,6.78000020980835,,106.26000213623047,,27.65999984741211
2015-08-12,7.449999809265137,,107.75,,27.729999542236328
2015-08-13,7.199999809265137,,106.86000061035156,,27.40999984741211
2015-08-14,6.800000190734863,,106.8499984741211,,27.610000610351562
2015-08-17,7.050000190734863,,107.12999725341797,,27.670000076293945
2015-08-18,6.789999961853027,,107.11000061035156,,26.989999771118164
2015-08-19,7.039999961853027,,108.55000305175781,,26.690000534057617
2015-08-20,7.170000076293945,,110.44000244140625,,26.690000534057617
2015-08-21,7.019999980926514,,111.12999725341797,,25.899999618530273
2015-08-24,6.329999923706055,,110.52999877929688,,24.8700008392334
2015-08-25,6.150000095367432,,109.16000366210938,,24.510000228881836
2015-08-26,5.800000190734863,,107.66999816894531,,24.399999618530273
2015-08-27,6.210000038146973,,107.7300033569336,,26.93000030517578
2015-08-28,6.539999961853027,,108.69999694824219,,27.350000381469727
2015-08-31,6.320000171661377,,108.81999969482422,,26.65999984741211
2015-09-01,6.010000228881836,,109.19999694824219,,25.440000534057617
2015-09-02,6.0,,108.62000274658203,,26.440000534057617
2015-09-03,6.03000020980835,,107.83999633789062,,27.149999618530273
